session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
118,4.472018,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.6708380869665551,0.0004296720027155,True,0.0013903832167104374,False
87,1.0,1,1,0,1,2,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,2,2.0,0.0002864480018103,True,0.0006677251370128494,False
88,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
89,11.081974,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.4511831556363514,0.0007161200045258,True,0.0017800077798198807,False
90,1.805403,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,2.215571814160052,0.0005728960036207,True,0.0034314608865921264,False
122,467.066593,4,3,3,1,6,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1745.5175,8,0.0128461339130713,0.000859344005431,True,0.011136559870934143,False
123,111.649389,5,3,4,0,6,6982.07,6982.07,42.8,1396.414,2327.3566666666666,1396.414,9,0.0537396581722449,0.000859344005431,True,0.01150667753508285,False
125,1101.320658,10,5,4,2,12,6982.07,6982.07,42.8,698.207,1396.414,1396.414,16,0.0108960091802799,0.0017186880108621,True,0.04274182033326016,False
126,883.611504,14,4,4,1,16,6982.07,6982.07,42.8,498.7192857142857,1745.5175,1396.414,19,0.0181075053092563,0.0022915840144828,True,0.008314353038539167,False
127,29.202042,3,2,3,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,7,0.1712209029765795,0.0007161200045258,True,0.0033268938020307942,False
128,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
130,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
131,84.675681,6,3,4,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1396.414,10,0.0826683637773164,0.0010025680063362,True,0.011364546321564835,False
132,1.0,2,1,1,1,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,4,3.0,0.0004296720027155,True,0.0016819550032038352,False
133,428.298953,16,8,11,1,17,6982.07,6982.07,42.8,436.379375,872.75875,581.8391666666666,28,0.0396919018384805,0.0024348080153879,True,0.21165961942477618,False
134,33.858254,19,6,7,0,20,6982.07,6982.07,42.8,367.47736842105263,1163.6783333333333,872.75875,26,0.5906979137199455,0.0028644800181035,True,0.17675070802010104,False
103,430.235704,7,3,4,0,8,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1396.414,11,0.018594458631913,0.0011457920072414,True,0.006002189595861377,False
104,828.869081,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.0060323157355172,0.0007161200045258,True,0.03498882018872602,False
105,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
137,8.17778,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.6114128773334572,0.0007161200045258,True,0.0018310011512626154,False
138,470.969392,19,6,10,7,21,6982.07,6982.07,42.8,367.47736842105263,1163.6783333333333,634.7336363636364,36,0.0445888848759836,0.0030077040190086,True,0.10145320080023433,False
139,261.393918,8,3,3,0,9,6982.07,6982.07,42.8,872.75875,2327.3566666666666,1745.5175,11,0.0344307934509784,0.0012890160081465,True,0.004427789974203926,False
140,1.0,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0013813565988317498,False
141,560.510217,10,2,3,3,12,6982.07,6982.07,42.8,698.207,3491.035,1745.5175,16,0.0214090655906812,0.0017186880108621,True,0.008981425323604658,False
143,32.887703,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0912195053573671,0.0004296720027155,True,0.001550898864103986,False
144,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
145,403.152716,7,2,1,0,8,6982.07,6982.07,42.8,997.4385714285714,3491.035,3491.035,8,0.0198435969361049,0.0011457920072414,True,0.0052585377445287925,False
